Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Heads Together Productions Limited,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,46605,46605,46605,139816,46605,46605,46605,46605,186420,GIA,-7.333675344734067e-06,,Leeds,http://www.chapelfm.co.uk,Grant in Aid,Band 1,False,False,False,False
Heart n Soul,2,,London,London,London,Combined arts,True,259395,259395,259395,778185,299395,299395,299395,299395,1197580,GIA,0.15420497696563157,,Lewisham,http://www.heartnsoul.co.uk,Grant in Aid,Band 2,False,False,False,False
Heart of Glass,2,Heart of Glass St Helens Limited ,North,North West,North West,Combined arts,False,0,0,0,0,350000,350000,350000,350000,1400000,GIA,,,St. Helens,http://www.heartofglass.org.uk,Grant in Aid,Band 2,False,False,False,False
Helix Arts Ltd,1,,North,North East,North East,Combined arts,True,108341,108341,108341,325025,108342,108342,108342,108342,433368,GIA,2.510323851597662e-06,,Newcastle upon Tyne,http://www.helixarts.com,Grant in Aid,Band 1,False,False,False,False
Higher Rhythm Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,54000,54000,54000,162000,54000,54000,54000,54000,216000,GIA,0,,Doncaster,http://www.higherrhythm.co.uk,Grant in Aid,Band 1,False,False,False,False
Highlights Productions,1,,North,North West,North West,Combined arts,True,119800,119800,119800,359400,119800,119800,119800,119800,479200,LOT,0,,Eden,http://www.highlightsnorth.co.uk,National Lottery,Band 1,False,False,False,False
HighTide Festival Productions LTD,1,,South East,East,East of England,Theatre,True,191654,191654,191654,574962,191654,191654,191654,191654,766616,LOT,0,,Suffolk Coastal,http://www.hightide.org.uk,National Lottery,Band 1,False,False,False,False
Hofesh Shechter Company,2,,South East,South East,South East,Dance,True,383307,383307,383307,1149921,383307,383307,383307,383307,1533228,LOT,0,,Brighton and Hove,http://www.hofesh.co.uk,National Lottery,Band 2,False,False,False,False
Home Live Art,1,,South East,South East,South East,Combined arts,True,75434,75434,75434,226304,75435,75435,75435,75435,301740,GIA,2.37665691093281e-06,,Hastings,http://www.homeliveart.com,Grant in Aid,Band 1,False,False,False,False
Homotopia Limited,1,,North,North West,North West,Combined arts,True,80000,80000,80000,240000,100000,100000,100000,100000,400000,GIA,0.25,,Liverpool,http://www.homotopia.net,Grant in Aid,Band 1,False,False,False,False
Hoot Creative Arts,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,40165,40165,40165,120497,40166,40166,40166,40166,160664,GIA,5.379645183071951e-06,,Kirklees,http://www.hootcreativearts.co.uk,Grant in Aid,Band 1,False,False,False,False
Horniman Museum and Gardens,2,The Horniman Public Museum and Public Park Trust,London,London,London,Museums,True,946678,946678,946678,2840034,946678,946678,946678,946678,3786712,GIA,0,,Lewisham,http://www.horniman.ac.uk,Grant in Aid,Band 2,False,False,False,False
Hounslow Arts Trust Ltd,1,,London,London,London,Combined arts,True,100579,100579,100579,301739,120696,120696,120696,120696,482784,GIA,0.2000028519882933,,Hounslow,http://www.watermans.org.uk,Grant in Aid,Band 1,False,False,False,False
Huddersfield Contemporary Music Festival,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,241627,241627,241627,724881,241627,241627,241627,241627,966508,GIA,-6.626330413911985e-07,,Kirklees,http://www.hcmf.co.uk,Grant in Aid,Band 1,False,False,False,False
Hull City Council,2,,North,Yorkshire,Yorkshire and The Humber,Museums,True,841409,841409,841409,2524227,996409,996409,996409,996409,3985636,GIA,0.18421481110850965,,"Kingston upon Hull, City of",http://www.hull.gov.uk,Grant in Aid,Band 2,False,False,False,False
Hull Truck Theatre,2,Hull Truck Theatre Company Limited,North,Yorkshire,Yorkshire and The Humber,Theatre,True,790680,790680,790680,2372040,790680,790680,790680,790680,3162720,LOT,0,,"Kingston upon Hull, City of",http://www.hulltruck.co.uk,National Lottery,Band 2,False,False,False,False
Ikon Gallery,3,,Midlands,West Midlands,West Midlands,Visual arts,True,1009728,1009728,1009728,3029185,1009728,1009728,1009728,1009728,4038912,GIA,-4.189360124807864e-07,,Birmingham,http://www.ikon-gallery.org,Grant in Aid,Band 3,False,False,False,False
Ilkley Literature Festival Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Literature,True,137424,137424,137424,412272,137424,137424,137424,137424,549696,GIA,0,,Bradford,http://www.ilkleyliteraturefestival.org.uk,Grant in Aid,Band 1,False,False,False,False
ILUVLIVE,1,,London,London,London,Music,True,103856,103856,103856,311568,103856,103856,103856,103856,415424,GIA,0,,Lambeth,http://www.iluvlive.co.uk,Grant in Aid,Band 1,False,False,False,False
imitating the dog,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,False,0,0,0,0,188000,188000,188000,188000,752000,GIA,,,Harrogate,http://www.imitatingthedog.co.uk,Grant in Aid,Band 1,False,False,False,False
Impressions Gallery of Photography Limited,1,,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,202281,202281,202281,606843,202281,202281,202281,202281,809124,GIA,0,,Bradford,http://www.impressions-gallery.com,Grant in Aid,Band 1,False,False,False,False
Improbable,1,,London,London,London,Theatre,True,216533,216533,216533,649599,216533,216533,216533,216533,866132,GIA,0,,Westminster,http://www.improbable.co.uk,Grant in Aid,Band 1,False,False,False,False
In Between Time,1,,South West,South West,South West,Combined arts,True,191101,191101,191101,573304,191102,191102,191102,191102,764408,GIA,2.376656911298319e-06,,"Bristol, City of",http://inbetweentime.co.uk,Grant in Aid,Band 1,False,False,False,False
Index on Censorship,SSO,Writers and Scholars International Limited,National,London,London,Literature,True,43122,43122,43122,129366,43122,43122,43122,43122,172488,GIA,0,,Westminster,http://indexoncensorship.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Inner City Music Ltd,1,,North,North West,North West,Music,True,94958,94958,94958,284874,180000,180000,180000,180000,720000,GIA,0.8955748857389583,,Manchester,http://bandonthewall.org,Grant in Aid,Band 1,False,False,False,False
Inpress Ltd,SSO,,National,North East,North East,Literature,True,133488,133488,133488,400465,158489,158489,158489,158489,633956,GIA,0.1872850419070909,,Newcastle upon Tyne,http://www.inpressbooks.co.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
In-Situ,1,In-Situ-In-Place,North,North West,North West,Visual arts,False,0,0,0,0,139000,139000,139000,139000,556000,GIA,,,Pendle,http://www.in-situ.org.uk,Grant in Aid,Band 1,False,False,False,False
Institute of Contemporary Arts,2,Institute of Contemporary Arts Ltd,London,London,London,Visual arts,True,862441,862441,862441,2587323,862441,862441,862441,862441,3449764,LOT,0,,Westminster,http://www.ica.org.uk,National Lottery,Band 2,False,False,False,False
Institute of Fundraising,SSO,,National,London,London,Not discipline specific,False,0,0,0,0,107958,107958,107958,107958,431832,GIA,,,Westminster,http://www.institute-of-fundraising.org.uk/home/,Grant in Aid,Sector Support Organisation,False,False,False,False
Institute of International Visual Arts,1,,London,London,London,Visual arts,True,228344,228344,228344,685032,228344,228344,228344,228344,913376,GIA,0,,Hackney,http://www.iniva.org,Grant in Aid,Band 1,False,False,False,False
International Curators Forum,1,,London,London,London,Visual arts,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,Wandsworth,http://internationalcuratorsforum.org,Grant in Aid,Band 1,False,False,False,False
Interplay Theatre Trust,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,151017,151017,151017,453051,151017,151017,151017,151017,604068,GIA,-1.4212665947726325e-06,,Leeds,http://www.interplaytheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
Intoart,1,Intoart Projects,London,London,London,Visual arts,True,92798,92798,92798,278394,120298,120298,120298,120298,481192,GIA,0.2963425935903791,,Lambeth,http://www.intoart.org.uk,Grant in Aid,Band 1,False,False,False,False
Invisible Dust,1,,North,Yorkshire,Yorkshire and The Humber,Visual arts,False,0,0,0,0,180000,180000,180000,180000,720000,GIA,,,Scarborough,http://www.invisibledust.com,Grant in Aid,Band 1,False,False,False,False
Invisible Flock Co,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,False,0,0,0,0,195000,195000,195000,195000,780000,GIA,,,Leeds,http://invisibleflock.com,Grant in Aid,Band 1,False,False,False,False
IOU Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,185000,185000,185000,555000,185000,185000,185000,185000,740000,LOT,0,,Calderdale,http://www.ioutheatre.org,National Lottery,Band 1,False,False,False,False
Ironbridge Gorge Museum Trust,2,,Midlands,West Midlands,West Midlands,Museums,True,736164,736164,736164,2208492,736164,736164,736164,736164,2944656,GIA,0,,Telford and Wrekin,http://www.ironbridge.org.uk,Grant in Aid,Band 2,False,False,False,False
Ironbridge Gorge Museum Trust,SSO,,Midlands,West Midlands,West Midlands,Museums,True,302976,302976,302976,908928,307595,307595,307595,307595,1230380,GIA,0.015245431981411069,"Museum Development allocations are based on a national formula, which is calculated on the number of museums in each region. The technical uplift is as a result of rounding up.",Telford and Wrekin,http://www.ironbridge.org.uk,Grant in Aid,Sector Support Organisation,False,True,False,True
ISAN,SSO,Independent Street Arts Network,National,London,London,Combined arts,True,88442,88442,88442,265326,170442,170442,170442,170442,681768,GIA,0.9271613034531105,,Camden,http://www.isanuk.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Jacksons Lane,1,,London,London,London,Combined arts,True,129747,129747,129747,389242,129748,129748,129748,129748,518992,GIA,3.7894618981691063e-06,,Haringey,http://www.jacksonslane.org.uk,Grant in Aid,Band 1,False,False,False,False
Jasmin Vardimon Dance Company,2,,South East,South East,South East,Dance,True,289567,289567,289567,868701,289567,289567,289567,289567,1158268,GIA,0,,Ashford,http://www.jasminvardimon.com,Grant in Aid,Band 2,False,False,False,False
Jazz North,SSO,,North,Yorkshire,Yorkshire and The Humber,Music,True,190000,190000,190000,570000,190000,190000,190000,190000,760000,GIA,0,,Doncaster,http://www.jazznorth.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Jazz re:freshed,1,,London,London,London,Music,True,95795,95795,95795,287385,130795,130795,130795,130795,523180,GIA,0.36536353671903543,,Lewisham,http://www.jazzrefreshed.com,Grant in Aid,Band 1,False,False,False,False
Jerwood Gallery,1,,South East,South East,South East,Visual arts,False,0,0,0,0,100000,100000,100000,100000,400000,GIA,,,Hastings,http://www.jerwoodgallery.org,Grant in Aid,Band 1,False,False,False,False
Jewish Museum London,1,,London,London,London,Museums,False,0,0,0,0,220000,220000,220000,220000,880000,GIA,,,Camden,http://www.jewishmuseum.org.uk/,Grant in Aid,Band 1,False,False,False,False
J-Night,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,68749,68749,68749,206247,68749,68749,68749,68749,274996,GIA,0,,York,http://www.jnight.org,Grant in Aid,Band 1,False,False,False,False
John Hansard Gallery,2,,South West,South West,South East,Visual arts,True,447511,447511,447511,1342533,601511,601511,601511,601511,2406044,GIA,0.34412561925852103,,Southampton,http://www.hansardgallery.org.uk,Grant in Aid,Band 2,False,False,False,False
Junction Arts Limited,1,,Midlands,East Midlands,East Midlands,Combined arts,True,100579,100579,100579,301739,100580,100580,100580,100580,402320,GIA,2.376656911077491e-06,,Chesterfield,http://www.junctionarts.org,Grant in Aid,Band 1,False,False,False,False
Junction CDC Ltd,2,,South East,East,East of England,Combined arts,True,587418,587418,587418,1762254,637418,637418,637418,637418,2549672,GIA,0.08511826331504993,,Cambridge,http://www.junction.co.uk,Grant in Aid,Band 2,False,False,False,False
Kala Sangam - The Academy of South Asian Performing Arts,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,100000,100000,100000,300000,100000,100000,100000,100000,400000,GIA,0,,Bradford,http://www.kalasangam.org/,Grant in Aid,Band 1,False,False,False,False
Kaleider Limited,1,,South West,South West,South West,Theatre,True,110000,110000,110000,330000,110000,110000,110000,110000,440000,LOT,0,,Exeter,http://www.kaleider.com,National Lottery,Band 1,False,False,False,False
Kali Theatre Co.,1,,London,London,London,Theatre,True,196500,196500,196500,589500,196500,196500,196500,196500,786000,LOT,0,,Lewisham,http://www.kalitheatre.co.uk,National Lottery,Band 1,False,False,False,False
KARST,1,,South West,South West,South West,Visual arts,False,0,0,0,0,140000,140000,140000,140000,560000,GIA,,,Plymouth,http://www.karst.org.uk,Grant in Aid,Band 1,False,False,False,False
Kendal Brewery Arts Centre,2,,North,North West,North West,Combined arts,True,321854,321854,321854,965562,321854,321854,321854,321854,1287416,GIA,-8.5999476027902e-07,,South Lakeland,http://www.breweryarts.co.uk,Grant in Aid,Band 2,False,False,False,False
Kettle's Yard,2,University of Cambridge (Kettle's Yard),South East,East,East of England,Visual arts,True,148757,148757,148757,446271,290757,290757,290757,290757,1163028,GIA,0.9545769274723206,"Technical Uplift - For 2015-2018, Kettle's Yard is an National Portfolio Organisation and is a partner of a Major Partner Museum consortium. For 2018-2022, the technical uplift is a consolidation of their NPO and consortium allocation.",Cambridge,http://kettlesyard.co.uk,Grant in Aid,Band 2,False,True,False,False
Kids in Museums,SSO,,National,London,London,Museums,False,0,0,0,0,160000,160000,160000,160000,640000,GIA,,,Southwark,http://www.kidsinmuseums.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Kinetika Bloco,1,,London,London,London,Combined arts,False,0,0,0,0,80000,80000,80000,80000,320000,GIA,,,Lambeth,http://www.kinetikabloco.co.uk,Grant in Aid,Band 1,False,False,False,False
Kinetika People,1,,South East,East,East of England,Combined arts,True,98845,98845,98845,296535,123850,123850,123850,123850,495400,GIA,0.2529718245738277,,Thurrock,http://www.kinetikaonline.co.uk,Grant in Aid,Band 1,False,False,False,False
Kirklees Theatre Trust,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,148531,148531,148531,445594,148531,148531,148531,148531,594124,GIA,-3.155142841368852e-06,,Kirklees,http://www.thelbt.org,Grant in Aid,Band 1,False,False,False,False
Kneehigh Theatre Trust,2,,South West,South West,South West,Theatre,True,354672,354672,354672,1064016,450000,450000,450000,450000,1800000,LOT,0.2687779131140885,,Cornwall,http://kneehigh.co.uk,National Lottery,Band 2,False,False,False,False
Knowle West Media Centre,1,,South West,South West,South West,Combined arts,True,90522,90522,90522,271566,90522,90522,90522,90522,362088,GIA,0,,"Bristol, City of",http://kwmc.org.uk,Grant in Aid,Band 1,False,False,False,False
Koestler Trust,1,,London,London,London,Literature,True,75000,75000,75000,225000,75000,75000,75000,75000,300000,GIA,0,,Hammersmith and Fulham,http://www.koestlertrust.org.uk,Grant in Aid,Band 1,False,False,False,False
Lakes Arts Festivals Ltd,1,,North,North West,North West,Combined arts,False,0,0,0,0,234000,234000,234000,234000,936000,GIA,,,South Lakeland,http://www.comicartfestival.com,Grant in Aid,Band 1,False,False,False,False
Lancaster Arts at Lancaster University,1,Lancaster University,North,North West,North West,Combined arts,True,103053,103053,103053,309159,103053,103053,103053,103053,412212,GIA,-4.801034403258471e-07,,Lancaster,http://www.lancasterarts.org,Grant in Aid,Band 1,False,False,False,False
Lapworth Museum of Geology,1,University of Birmingham,Midlands,West Midlands,West Midlands,Museums,False,0,0,0,0,104746,104746,104746,104746,418984,GIA,,,Birmingham,http://www.bham.ac.uk,Grant in Aid,Band 1,False,False,False,False
Ledbury Poetry Festival,1,,Midlands,West Midlands,West Midlands,Literature,True,53065,53065,53065,159197,53066,53066,53066,53066,212264,GIA,3.4786072474312056e-07,,"Herefordshire, County of",http://www.poetry-festival.co.uk,Grant in Aid,Band 1,False,False,False,False
Leeds Museums and Galleries,3,Leeds City Council,North,Yorkshire,Yorkshire and The Humber,Museums,True,1590154,1590154,1590154,4770462,1590000,1590000,1590000,1590000,6360000,GIA,-9.68459658624259e-05,,Leeds,http://www.leeds.gov.uk/museumsandgalleries,Grant in Aid,Band 3,False,False,False,False
Leeds Theatre Trust Limited,3,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,1508104,1508104,1508104,4524312,1508104,1508104,1508104,1508104,6032416,GIA,-1.3593673873235018e-07,,Leeds,http://www.wyp.org.uk,Grant in Aid,Band 3,False,False,False,False
